 Day,T.,TM,Tm
7/1/20,28.9,36.2,24.4
7/2/20,28.9,33.6,24.9
7/3/20,32.4,36,24.6
7/4/20,30.2,36.6,26.1
7/5/20,29.1,33.8,25.5
7/6/20,30.2,32.3,26.9
7/7/20,31.9,38,27
7/8/20,31.5,38,25.1
7/9/20,30.1,36.6,24.9
7/10/20,28.2,35.4,23.3
7/11/20,29.9,34.4,24.1
7/12/20,28.8,35,25.2
7/13/20,28.2,35,22.4
7/14/20,27.5,32.6,25.9
7/15/20,27.5,30.2,23.5
7/16/20,27.6,31.6,25
7/17/20,30.4,34.6,24.4
7/18/20,28.9,35.6,25
7/19/20,29.1,33.2,26.3
7/20/20,30.3,35,25
7/21/20,31.6,35,26.5
7/22/20,31.7,36,27
7/23/20,30.7,35.2,27.3
7/24/20,28.3,34.8,23
7/25/20,30.2,34,25.3
7/26/20,28.1,34.8,22.3
7/27/20,30.9,35.8,25
7/28/20,30.9,35.8,26
7/29/20,27,35.6,26
7/30/20,30.4,33.8,25.1
7/31/20,29.9,35.4,25.5
